adp_rank,player_name,position,team,sleeper_id,age,years_exp
426,Devon Garrison,TE,,12443,,1
427,Darrell Daniels,TE,,4323,28.0,6
428,Jesper Horsted,TE,,6075,27.0,5
429,Randall Cobb,WR,,928,33.0,13
430,Ian Book,QB,,7589,26.0,4
431,Rashaad Penny,RB,,4985,28.0,6
432,Jalen Jackson,RB,,12218,24.0,1
433,Tanner Taula,TE,,11415,27.0,3
434,Josh Lambo,K,,2671,32.0,7
435,Louis Rees-Zammit,RB,,11652,24.0,1
436,Trey Quinn,WR,,5139,27.0,5
437,Mitch Van Vooren,WR,,13227,,1
438,Stevie Scott,RB,,7904,23.0,2
439,Daurice Fountain,WR,,5102,28.0,6
440,Ryan Santoso,K,,5692,27.0,4
441,Jack Podlesny,K,,11077,24.0,1
442,Antonio Gibson,RB,,6945,27.0,6
443,Cameron Brate,TE,,2214,31.0,9
444,Zakhari Franklin,WR,,13161,25.0,0
445,Kirk Cousins,QB,LV,1166,37.0,14
446,Michael Walker,WR,,6363,25.0,3
447,Joseph Scates,WR,,12222,24.0,1
448,Jared Bernhardt,WR,,8663,25.0,1
449,Kawaan Baker,WR,,7752,27.0,4
450,Brett Maher,K,,4958,34.0,11
451,Kobe Lewis,RB,,12026,24.0,1
452,Garett Maag,WR,,11528,23.0,1
453,Jamal Pettigrew,TE,,8741,24.0,1
454,Curtis Samuel,WR,,4082,29.0,9
455,Pooka Williams,RB,,7560,23.0,1
456,Alex Hale,K,,12438,27.0,1
457,Emory Jones,QB,,11961,25.0,2
458,Trent Taylor,WR,,4218,31.0,9
459,Will Howard,QB,PIT,12511,24.0,1
460,Otis Anderson,RB,,8077,23.0,1
461,Sterling Shepard,WR,,3200,33.0,10
462,Donovan Peoples-Jones,WR,,6824,26.0,5
463,Dylan Parham,TE,,8751,24.0,2
464,Jonathan Garibay,K,,8812,,1
465,D'Eriq King,QB,,8199,25.0,2
466,Tyron Billy-Johnson,WR,,6063,28.0,5
467,Jack Plummer,QB,,12009,25.0,1
468,Racey McMath,WR,,7793,25.0,3
469,Kody Case,WR,,11359,24.0,1
470,Alexander Mattison,RB,,5987,27.0,7
471,Thaddeus Moss,TE,,6919,24.0,2
472,Jonathan Ward,RB,,7087,28.0,6
473,Jadon Haselwood,WR,,9498,22.0,1
